-0.0,"[1, 4, 1, 3, 13, 13]"
-0.12,"[1, 7, 3, 2, 13, 14]"
-0.0,"[3, 7, 3, 5, 14, 14]"
-0.41,"[3, 3, 2, 5, 12, 16]"
-0.14,"[2, 9, 2, 5, 12, 13]"
-0.35,"[1, 6, 3, 2, 14, 15]"
-0.0,"[3, 2, 4, 5, 15, 14]"
-0.0,"[1, 3, 4, 4, 15, 15]"
-0.09,"[2, 6, 3, 2, 12, 13]"
-0.42,"[4, 6, 2, 3, 9, 15]"
-0.51,"[4, 3, 1, 3, 10, 15]"
-0.57,"[3, 2, 1, 3, 11, 16]"
-0.39,"[3, 2, 1, 4, 9, 15]"
-0.6,"[2, 2, 1, 3, 11, 16]"
-0.4,"[2, 2, 1, 2, 13, 16]"
-0.7,"[2, 2, 3, 4, 11, 16]"
-0.42,"[2, 2, 4, 5, 12, 16]"
-0.7,"[1, 6, 3, 4, 11, 16]"
-0.7,"[1, 10, 3, 4, 11, 16]"
-0.71,"[1, 7, 3, 5, 11, 16]"
-0.67,"[1, 6, 2, 5, 10, 16]"
-0.46,"[1, 6, 4, 4, 13, 16]"
-0.56,"[1, 4, 4, 5, 9, 16]"
-0.68,"[2, 8, 3, 4, 10, 16]"
-0.7,"[3, 10, 3, 4, 11, 16]"
-0.37,"[1, 8, 3, 3, 12, 16]"
-0.58,"[1, 10, 3, 2, 11, 16]"
-0.7,"[1, 7, 3, 4, 11, 16]"
-0.71,"[2, 7, 3, 5, 11, 16]"
-0.71,"[2, 7, 4, 5, 11, 16]"
